screenwell_name	screenwell_catalog_number	screenwell_plate_location	screenwell_smiles	screenwell_iupac	query_compound	pubchem_cid	drugbank_id
Nalbuphine hydrochloride hydrate	AC893	1-G10	C1CC(C1)CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)O.Cl	(4R,4aS,7S,7aR,12bS)-3-(cyclobutylmethyl)-1,2,4,5,6,7,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinoline-4a,7,9-triol;hydrochloride	(4R,4aS,7S,7aR,12bS)-3-(cyclobutylmethyl)-1,2,4,5,6,7,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinoline-4a,7,9-triol;hydrochloride	5360733	
Carbamoylcholine chloride	AC911	1-G11	C[N+](C)(C)CCOC(=O)N.[Cl-]	2-carbamoyloxyethyl(trimethyl)azanium;chloride	2-carbamoyloxyethyl(trimethyl)azanium;chloride	5831	
Famotidine	AC925	1-H02	C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N	3-[[2-(diaminomethylideneamino)-1,3-thiazol-4-yl]methylsulfanyl]-N'-sulfamoylpropanimidamide	3-[[2-(diaminomethylideneamino)-1,3-thiazol-4-yl]methylsulfanyl]-N'-sulfamoylpropanimidamide	3325	DB00927
Isoniazid	AC986	1-H03	C1=CN=CC=C1C(=O)NN	pyridine-4-carbohydrazide	pyridine-4-carbohydrazide	3767	DB00951
Ticlopidine·HCl	AC993	1-H04	C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl.Cl	5-[(2-chlorophenyl)methyl]-6,7-dihydro-4H-thieno[3,2-c]pyridine;hydrochloride	5-[(2-chlorophenyl)methyl]-6,7-dihydro-4H-thieno[3,2-c]pyridine;hydrochloride	65335	
Clemastine Fumarate	DL247	1-H05	C[C@@](C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCC[C@H]3CCCN3C.C(=C/C(=O)O)\C(=O)O	(E)-but-2-enedioic acid;(2R)-2-[2-[(1R)-1-(4-chlorophenyl)-1-phenylethoxy]ethyl]-1-methylpyrrolidine	(E)-but-2-enedioic acid;(2R)-2-[2-[(1R)-1-(4-chlorophenyl)-1-phenylethoxy]ethyl]-1-methylpyrrolidine	53394933	
Vardenafil 	DL248	1-H06	CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C	2-[2-ethoxy-5-(4-ethylpiperazin-1-yl)sulfonylphenyl]-5-methyl-7-propyl-1H-imidazo[5,1-f][1,2,4]triazin-4-one	2-[2-ethoxy-5-(4-ethylpiperazin-1-yl)sulfonylphenyl]-5-methyl-7-propyl-1H-imidazo[5,1-f][1,2,4]triazin-4-one	135400189	DB00862
Linezolid	DL249	1-H07	CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F	N-[[(5S)-3-(3-fluoro-4-morpholin-4-ylphenyl)-2-oxo-1,3-oxazolidin-5-yl]methyl]acetamide	N-[[(5S)-3-(3-fluoro-4-morpholin-4-ylphenyl)-2-oxo-1,3-oxazolidin-5-yl]methyl]acetamide	441401	DB00601
Docetaxel 	DL250	1-H08	CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O	(1S,2S,3R,4S,7R,9S,10S,12R,15S)-4-(acetyloxy)-15-{[(2R,3S)-3-{[(tert-butoxy)carbonyl]amino}-2-hydroxy-3-phenylpropanoyl]oxy}-1,9,12-trihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.0³,¹⁰.0⁴,⁷]heptadec-13-en-2-yl benzoate	CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O	148124	DB01248
Olopatadine	DL251	1-H09	CN(C)CC/C=C\1/C2=CC=CC=C2COC3=C1C=C(C=C3)CC(=O)O	2-[(11Z)-11-[3-(dimethylamino)propylidene]-6H-benzo[c][1]benzoxepin-2-yl]acetic acid	2-[(11Z)-11-[3-(dimethylamino)propylidene]-6H-benzo[c][1]benzoxepin-2-yl]acetic acid	5281071	DB00768
Tolcapone	DL252	1-H10	CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-]	(3,4-dihydroxy-5-nitrophenyl)-(4-methylphenyl)methanone	(3,4-dihydroxy-5-nitrophenyl)-(4-methylphenyl)methanone	4659569	DB00323
Olmesartan	DL254	1-H11	CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O	5-(2-hydroxypropan-2-yl)-2-propyl-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]imidazole-4-carboxylic acid	CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O	158781	DB00275
Nisoldipine	DL255	2-A02	CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC	3-O-methyl 5-O-(2-methylpropyl) 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate	3-O-methyl 5-O-(2-methylpropyl) 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate	4499	DB00401
Olanzapine	DL257	2-A03	CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C	2-methyl-4-(4-methylpiperazin-1-yl)-5H-thieno[3,2-c][1,5]benzodiazepine	2-methyl-4-(4-methylpiperazin-1-yl)-5H-thieno[3,2-c][1,5]benzodiazepine	135398745	DB00334
Lovastatin	G226	2-A04	CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C	[(1S,3R,7S,8S,8aR)-8-[2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl]-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] (2S)-2-methylbutanoate	[(1S,3R,7S,8S,8aR)-8-[2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl]-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] (2S)-2-methylbutanoate	53232	DB00227
Lamotrigine	430160	2-A05	C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N	6-(2,3-dichlorophenyl)-1,2,4-triazine-3,5-diamine	6-(2,3-dichlorophenyl)-1,2,4-triazine-3,5-diamine	3878	DB00555
Azathioprine	DL572	2-A06	CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]	6-(3-methyl-5-nitroimidazol-4-yl)sulfanyl-7H-purine	6-(3-methyl-5-nitroimidazol-4-yl)sulfanyl-7H-purine	2265	DB00993
Sildenafil Citrate	DL261	2-A07	CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	5-[2-ethoxy-5-(4-methylpiperazin-1-yl)sulfonylphenyl]-1-methyl-3-propyl-4H-pyrazolo[4,3-d]pyrimidin-7-one;2-hydroxypropane-1,2,3-tricarboxylic acid	CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	135413523	
Atovaquone	DL262	2-A08	C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O	3-[4-(4-chlorophenyl)cyclohexyl]-4-hydroxynaphthalene-1,2-dione	3-[4-(4-chlorophenyl)cyclohexyl]-4-hydroxynaphthalene-1,2-dione	74989	DB01117
Sertaconazole . Nitrate	DL208	2-A09	C1=CC2=C(C(=C1)Cl)SC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl	1-[2-[(7-chloro-1-benzothiophen-3-yl)methoxy]-2-(2,4-dichlorophenyl)ethyl]imidazole	1-[2-[(7-chloro-1-benzothiophen-3-yl)methoxy]-2-(2,4-dichlorophenyl)ethyl]imidazole	65863	DB01153
Cefepime·2HCl Hydrate	DL191	2-A10	[H+].C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O.O.[Cl-].[Cl-]	7-[[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(1-methylpyrrolidin-1-ium-1-yl)methyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid;hydron;dichloride;hydrate			
Aripiprazole	DL178	2-A11	C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl	7-[4-[4-(2,3-dichlorophenyl)piperazin-1-yl]butoxy]-3,4-dihydro-1H-quinolin-2-one	7-[4-[4-(2,3-dichlorophenyl)piperazin-1-yl]butoxy]-3,4-dihydro-1H-quinolin-2-one	60795	DB01238
Candesartan	DL264	2-B02	CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O	2-ethoxy-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]benzimidazole-4-carboxylic acid	2-ethoxy-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]benzimidazole-4-carboxylic acid	2541	DB13919
Butenafine·HCl	DL101	2-B03	CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32.Cl	1-(4-tert-butylphenyl)-N-methyl-N-(naphthalen-1-ylmethyl)methanamine;hydrochloride	1-(4-tert-butylphenyl)-N-methyl-N-(naphthalen-1-ylmethyl)methanamine;hydrochloride	443867	
Dorzolamide·HCl	DL200	2-B04	CCN[C@H]1C[C@@H](S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C.Cl	(4S,6S)-4-(ethylamino)-6-methyl-7,7-dioxo-5,6-dihydro-4H-thieno[2,3-b]thiopyran-2-sulfonamide;hydrochloride	(4S,6S)-4-(ethylamino)-6-methyl-7,7-dioxo-5,6-dihydro-4H-thieno[2,3-b]thiopyran-2-sulfonamide;hydrochloride	6918132	
Escitalopram oxalate	DL212	2-B05	CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F	(1S)-1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3H-2-benzofuran-5-carbonitrile	(1S)-1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-3H-2-benzofuran-5-carbonitrile	2771	DB00215
Eprosartan Mesylate	DL209	2-B06	CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)/C=C(\CC3=CC=CS3)/C(=O)O.CS(=O)(=O)O	4-[[2-butyl-5-[(E)-2-carboxy-3-thiophen-2-ylprop-1-enyl]imidazol-1-yl]methyl]benzoic acid;methanesulfonic acid	4-[[2-butyl-5-[(E)-2-carboxy-3-thiophen-2-ylprop-1-enyl]imidazol-1-yl]methyl]benzoic acid;methanesulfonic acid	5282474	
Entacapone	DL217	2-B07	CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N	(E)-2-cyano-3-(3,4-dihydroxy-5-nitrophenyl)-N,N-diethylprop-2-enamide	(E)-2-cyano-3-(3,4-dihydroxy-5-nitrophenyl)-N,N-diethylprop-2-enamide	5281081	DB00494
Bleomycin sulfate	AP302	2-B08	CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O	3-[[2-[2-[2-[[(2S,3R)-2-[[(2S,3S,4R)-4-[[(2S,3R)-2-[[6-amino-2-[(1S)-3-amino-1-[[(2S)-2,3-diamino-3-oxopropyl]amino]-3-oxopropyl]-5-methylpyrimidine-4-carbonyl]amino]-3-[3-[4-carbamoyloxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-(1H-imidazol-5-yl)propanoyl]amino]-3-hydroxy-2-methylpentanoyl]amino]-3-hydroxybutanoyl]amino]ethyl]-1,3-thiazol-4-yl]-1,3-thiazole-4-carbonyl]amino]propyl-dimethylsulfanium	CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O	84068	
Guanfacine·HCl	AR102	2-B09	C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl.Cl	N-(diaminomethylidene)-2-(2,6-dichlorophenyl)acetamide;hydrochloride	C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl.Cl	137319709	
Tizanidine·HCl	AR103	2-B10	C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl.Cl	5-chloro-N-(4,5-dihydro-1H-imidazol-2-yl)-2,1,3-benzothiadiazol-4-amine;hydrochloride	5-chloro-N-(4,5-dihydro-1H-imidazol-2-yl)-2,1,3-benzothiadiazol-4-amine;hydrochloride	114869	
Carvedilol	AR112	2-B11	COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O	1-(9H-carbazol-4-yloxy)-3-[2-(2-methoxyphenoxy)ethylamino]propan-2-ol	1-(9H-carbazol-4-yloxy)-3-[2-(2-methoxyphenoxy)ethylamino]propan-2-ol	2585	DB01136
Flumazenil	B100	2-C02	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C	ethyl 8-fluoro-5-methyl-6-oxo-4H-imidazo[1,5-a][1,4]benzodiazepine-3-carboxylate	ethyl 8-fluoro-5-methyl-6-oxo-4H-imidazo[1,5-a][1,4]benzodiazepine-3-carboxylate	3373	DB01205
Gefitinib	DL269	2-C03	COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4	N-(3-chloro-4-fluorophenyl)-7-methoxy-6-(3-morpholin-4-ylpropoxy)quinazolin-4-amine	N-(3-chloro-4-fluorophenyl)-7-methoxy-6-(3-morpholin-4-ylpropoxy)quinazolin-4-amine	123631	DB00317
Imatinib . mesylate	270492	2-C04	CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O	methanesulfonic acid;4-[(4-methylpiperazin-1-yl)methyl]-N-[4-methyl-3-[(4-pyridin-3-ylpyrimidin-2-yl)amino]phenyl]benzamide	methanesulfonic acid;4-[(4-methylpiperazin-1-yl)methyl]-N-[4-methyl-3-[(4-pyridin-3-ylpyrimidin-2-yl)amino]phenyl]benzamide	123596	
Idarubicin . Hydrochloride	380260	2-C05	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O.Cl	9-acetyl-7-(4-amino-5-hydroxy-6-methyloxan-2-yl)oxy-6,9,11-trihydroxy-8,10-dihydro-7H-tetracene-5,12-dione;hydrochloride	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O.Cl	21864423	
Montelukast·Na	DL273	2-C06	CC(C)(C1=CC=CC=C1CC[C@H](C2=CC=CC(=C2)/C=C/C3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)[O-])O.[Na+]	sodium;2-[1-[[(1R)-1-[3-[(E)-2-(7-chloroquinolin-2-yl)ethenyl]phenyl]-3-[2-(2-hydroxypropan-2-yl)phenyl]propyl]sulfanylmethyl]cyclopropyl]acetate	sodium;2-[1-[[(1R)-1-[3-[(E)-2-(7-chloroquinolin-2-yl)ethenyl]phenyl]-3-[2-(2-hydroxypropan-2-yl)phenyl]propyl]sulfanylmethyl]cyclopropyl]acetate	23663996	
Exemestane	DL573	2-C07	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C	(8R,9S,10R,13S,14S)-10,13-dimethyl-6-methylidene-7,8,9,11,12,14,15,16-octahydrocyclopenta[a]phenanthrene-3,17-dione	(8R,9S,10R,13S,14S)-10,13-dimethyl-6-methylidene-7,8,9,11,12,14,15,16-octahydrocyclopenta[a]phenanthrene-3,17-dione	60198	DB00990
Prostaglandin E2	PG007	2-C08	CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O	(Z)-7-[(1R,2R,3R)-3-hydroxy-2-[(E,3S)-3-hydroxyoct-1-enyl]-5-oxocyclopentyl]hept-5-enoic acid	(Z)-7-[(1R,2R,3R)-3-hydroxy-2-[(E,3S)-3-hydroxyoct-1-enyl]-5-oxocyclopentyl]hept-5-enoic acid	5280360	DB00917
Metformin	270432	2-C09	CN(C)C(=N)N=C(N)N.Cl	3-(diaminomethylidene)-1,1-dimethylguanidine;hydrochloride	3-(diaminomethylidene)-1,1-dimethylguanidine;hydrochloride	4091	DB00331
Anagrelide	DL277	2-C10	C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31	6,7-dichloro-5,10-dihydro-3H-imidazo[2,1-b]quinazolin-2-one	6,7-dichloro-5,10-dihydro-3H-imidazo[2,1-b]quinazolin-2-one	135409400	DB00261
Dofetilide	DL278	2-C11	CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C	N-[4-[2-[2-[4-(methanesulfonamido)phenoxy]ethyl-methylamino]ethyl]phenyl]methanesulfonamide	N-[4-[2-[2-[4-(methanesulfonamido)phenoxy]ethyl-methylamino]ethyl]phenyl]methanesulfonamide	71329	DB00204
Erlotinib HCl	CHM157	2-D02	COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC	N-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)quinazolin-4-amine	N-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)quinazolin-4-amine	176870	DB00530
Tacrine·HCl	C110	2-D03	C1CCC2=NC3=CC=CC=C3C(=C2C1)N.Cl	1,2,3,4-tetrahydroacridin-9-amine;hydrochloride	1,2,3,4-tetrahydroacridin-9-amine;hydrochloride	2723754	
Galanthamine . hydrobromide	550336	2-D04	CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O.Br	(1S,12S,14R)-9-methoxy-4-methyl-11-oxa-4-azatetracyclo[8.6.1.0¹,¹².0⁶,¹⁷]heptadeca-6(17),7,9,15-tetraen-14-ol hydrobromide	CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O.Br	121587	
Amiloride . hydrochloride . dihydrate	550212	2-D05	C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N.O.O.Cl	3,5-diamino-6-chloro-N-(diaminomethylidene)pyrazine-2-carboxamide;dihydrate;hydrochloride	3,5-diamino-6-chloro-N-(diaminomethylidene)pyrazine-2-carboxamide;dihydrate;hydrochloride	137319714	
Amlodipine	CA202	2-D06	CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN	3-O-ethyl 5-O-methyl 2-(2-aminoethoxymethyl)-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate	3-O-ethyl 5-O-methyl 2-(2-aminoethoxymethyl)-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate	2162	DB00381
Diltiazem . hydrochloride	550214	2-D07	CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl	[(2S,3S)-5-[2-(dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3-dihydro-1,5-benzothiazepin-3-yl] acetate;hydrochloride	[(2S,3S)-5-[2-(dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3-dihydro-1,5-benzothiazepin-3-yl] acetate;hydrochloride	62920	
Nifedipine	550091	2-D08	CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC	dimethyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate	dimethyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate	4485	DB01115
Nimodipine	550277	2-D09	CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC	3-O-(2-methoxyethyl) 5-O-propan-2-yl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate	3-O-(2-methoxyethyl) 5-O-propan-2-yl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate	4497	DB00393
(±)-Verapamil . hydrochloride	550306	2-D10	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC.Cl	2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methylamino]-2-propan-2-ylpentanenitrile;hydrochloride	2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methylamino]-2-propan-2-ylpentanenitrile;hydrochloride	62969	
Gabapentin	CA234	2-D11	C1CCC(CC1)(CC(=O)O)CN	2-[1-(aminomethyl)cyclohexyl]acetic acid	2-[1-(aminomethyl)cyclohexyl]acetic acid	3446	DB00996
Felodipine	CA236	2-E02	CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C	5-O-ethyl 3-O-methyl 4-(2,3-dichlorophenyl)-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate	5-O-ethyl 3-O-methyl 4-(2,3-dichlorophenyl)-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate	3333	DB01023
Phenoxybenzamine . hydrochloride	430039	2-E03	CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2.Cl	N-benzyl-N-(2-chloroethyl)-1-phenoxypropan-2-amine;hydrochloride	N-benzyl-N-(2-chloroethyl)-1-phenoxypropan-2-amine;hydrochloride	5284441	
Trifluoperazine . dihydrochloride	550310	2-E04	CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl	10-[3-(4-methylpiperazin-1-yl)propyl]-2-(trifluoromethyl)phenothiazine;dihydrochloride	10-[3-(4-methylpiperazin-1-yl)propyl]-2-(trifluoromethyl)phenothiazine;dihydrochloride	66064	
Latanoprost	DL281	2-E05	CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1CC[C@H](CCC2=CC=CC=C2)O)O)O	propan-2-yl (Z)-7-[(1R,2R,3R,5S)-3,5-dihydroxy-2-[(3R)-3-hydroxy-5-phenylpentyl]cyclopentyl]hept-5-enoate	propan-2-yl (Z)-7-[(1R,2R,3R,5S)-3,5-dihydroxy-2-[(3R)-3-hydroxy-5-phenylpentyl]cyclopentyl]hept-5-enoate	5311221	DB00654
Alfuzosin	DL574	2-E06	CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC	N-[3-[(4-amino-6,7-dimethoxyquinazolin-2-yl)-methylamino]propyl]oxolane-2-carboxamide	N-[3-[(4-amino-6,7-dimethoxyquinazolin-2-yl)-methylamino]propyl]oxolane-2-carboxamide	2092	DB00346
Bromocriptine Mesylate	D102	2-E07	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.CS(=O)(=O)O	(4R)-10-bromo-N-[(1S,2S,4R,7S)-2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-(propan-2-yl)-3-oxa-6,9-diazatricyclo[7.3.0.0²,⁶]dodecan-4-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.0²,⁷.0¹²,¹⁶]hexadeca-1(15),2,9,12(16),13-pentaene-4-carboxamide; methanesulfonic acid	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.CS(=O)(=O)O	5284352	
Clozapine	D107	2-E08	CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl	3-chloro-6-(4-methylpiperazin-1-yl)-5H-benzo[b][1,4]benzodiazepine	3-chloro-6-(4-methylpiperazin-1-yl)-5H-benzo[b][1,4]benzodiazepine	135398737	DB00363
Acitretin	GR108	2-E09	CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC	(2E,4E,6E,8E)-9-(4-methoxy-2,3,6-trimethylphenyl)-3,7-dimethylnona-2,4,6,8-tetraenoic acid	(2E,4E,6E,8E)-9-(4-methoxy-2,3,6-trimethylphenyl)-3,7-dimethylnona-2,4,6,8-tetraenoic acid	5284513	DB00459
1α,25-Dihydroxyvitamin D3	DM200	2-E10	C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C	(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol	(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol	5280453	DB00136
